headword	headword_pos	category	relation	collocation	normalized_collocation	confidence	_source_file	_target_hint	headword_norm	collocation_norm	confidence_score	quarantine_reason
community	noun	ADJ	adjective_modifier	religious Asian	religious asian	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	community	religious asian	0.9	noise_or_fragment_filter
companionship	noun	ADJ	adjective_modifier	€ ~with	€ ~with	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	companionship	€ ~with	0.9	noise_or_fragment_filter
companionship	noun	ADJ	adjective_modifier	small a major European company	small a major european company	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	companionship	small a major european company	0.9	noise_or_fragment_filter
conflict	noun	ADJ	adjective_modifier	increasing } constant	increasing } constant	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	conflict	increasing } constant	0.9	noise_or_fragment_filter
congratulations	noun	ADJ	adjective_modifier	warm May	warm may	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	congratulations	warm may	0.9	noise_or_fragment_filter
conservative	noun	ADJ	adjective_modifier	senior Senior	senior senior	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	conservative	senior senior	0.9	noise_or_fragment_filter
contact lens	noun	ADJ	adjective_modifier	soft [	soft [	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	contact lens	soft [	0.9	noise_or_fragment_filter
conversion	noun	ADJ	adjective_modifier	careful Today	careful today	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	conversion	careful today	0.9	noise_or_fragment_filter
cookery	noun	ADJ	adjective_modifier	basic Before he leaves home	basic before he leaves home	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	cookery	basic before he leaves home	0.9	noise_or_fragment_filter
cooperative	noun	ADJ	adjective_modifier	farmer/farr Ing	farmer/farr ing	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	cooperative	farmer/farr ing	0.9	noise_or_fragment_filter
copper	noun	ADJ	adjective_modifier	personal Charles	personal charles	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	copper	personal charles	0.9	noise_or_fragment_filter
copper	noun	ADJ	adjective_modifier	sign Author Bob	sign author bob	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	copper	sign author bob	0.9	noise_or_fragment_filter
corridor	noun	ADJ	adjective_modifier	long [	long [	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	corridor	long [	0.9	noise_or_fragment_filter
costume	noun	ADJ	adjective_modifier	tull For the dress rehearsal	tull for the dress rehearsal	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	costume	tull for the dress rehearsal	0.9	noise_or_fragment_filter
credentials	noun	ADJ	adjective_modifier	polltical	polltical	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	credentials	polltical	0.9	noise_or_fragment_filter
critique	noun	ADJ	adjective_modifier	wide-ranging } feminist	wide-ranging } feminist	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	critique	wide-ranging } feminist	0.9	noise_or_fragment_filter
crucial	adjective	ADJ	adjective_modifier	deliber- ot ata	deliber- ot ata	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	crucial	deliber- ot ata	0.9	noise_or_fragment_filter
crucial	adjective	ADJ	adjective_modifier	show (sb)	show (sb)	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	crucial	show (sb)	0.9	noise_or_fragment_filter
currency	noun	ADJ	adjective_modifier	sing the single European currency	sing the single european currency	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	currency	sing the single european currency	0.9	noise_or_fragment_filter
cyclone	noun	ADJ	adjective_modifier	violent } tropical	violent } tropical	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	cyclone	violent } tropical	0.9	noise_or_fragment_filter
day	noun	ADJ	adjective_modifier	(the) next	(the) next	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	day	(the) next	0.9	noise_or_fragment_filter
delay	noun	ADJ	adjective_modifier	substantial After a considerable delay	substantial after a considerable delay	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	delay	substantial after a considerable delay	0.9	noise_or_fragment_filter
deliberation	noun	ADJ	adjective_modifier	careful After careful deliberation	careful after careful deliberation	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	deliberation	careful after careful deliberation	0.9	noise_or_fragment_filter
delivery	noun	ADJ	adjective_modifier	preterm [ breech	preterm [ breech	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	delivery	preterm [ breech	0.9	noise_or_fragment_filter
demonstrator	noun	ADJ	adjective_modifier	angry Angry demonstrators threw stones	angry angry demonstrators threw stones	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	demonstrator	angry angry demonstrators threw stones	0.9	noise_or_fragment_filter
denial	noun	ADJ	adjective_modifier	vigorous When	vigorous when	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	denial	vigorous when	0.9	noise_or_fragment_filter
denial	noun	ADJ	adjective_modifier	official Despite official denials	official despite official denials	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	denial	official despite official denials	0.9	noise_or_fragment_filter
dent	noun	ADJ	adjective_modifier	smal}	smal}	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	dent	smal}	0.9	noise_or_fragment_filter
department	noun	ADJ	adjective_modifier	etc. } fire	etc. } fire	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	department	etc. } fire	0.9	noise_or_fragment_filter
descendant	noun	ADJ	adjective_modifier	lineal Quechua	lineal quechua	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	descendant	lineal quechua	0.9	noise_or_fragment_filter
destruction	noun	ADJ	adjective_modifier	systematic [	systematic [	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	destruction	systematic [	0.9	noise_or_fragment_filter
dinner	noun	ADJ	adjective_modifier	school [ convenience	school [ convenience	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	dinner	school [ convenience	0.9	noise_or_fragment_filter
diploma	noun	ADJ	adjective_modifier	higher [ national	higher [ national	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	diploma	higher [ national	0.9	noise_or_fragment_filter
direction	noun	ADJ	adjective_modifier	wrong Unfortunately	wrong unfortunately	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	direction	wrong unfortunately	0.9	noise_or_fragment_filter
direction	noun	ADJ	adjective_modifier	wind When sailing	wind when sailing	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	direction	wind when sailing	0.9	noise_or_fragment_filter
direction	noun	ADJ	adjective_modifier	stage Shakespeare’s famous stage direction	stage shakespeare’s famous stage direction	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	direction	stage shakespeare’s famous stage direction	0.9	noise_or_fragment_filter
direction	noun	ADJ	adjective_modifier	‘Exit	‘exit	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	direction	‘exit	0.9	noise_or_fragment_filter
discussion	noun	ADJ	adjective_modifier	considerable After considerable discussion	considerable after considerable discussion	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	discussion	considerable after considerable discussion	0.9	noise_or_fragment_filter
distaste	noun	ADJ	adjective_modifier	} mock	} mock	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	distaste	} mock	0.9	noise_or_fragment_filter
distribution	noun	ADJ	adjective_modifier	uniform After appiying the cream	uniform after appiying the cream	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	distribution	uniform after appiying the cream	0.9	noise_or_fragment_filter
division	noun	ADJ	adjective_modifier	etc. (sport)	etc. (sport)	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	division	etc. (sport)	0.9	noise_or_fragment_filter
division	noun	ADJ	adjective_modifier	etc.)	etc.)	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	division	etc.)	0.9	noise_or_fragment_filter
dog	noun	ADJ	adjective_modifier	bad Bad dog!	bad bad dog!	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	dog	bad bad dog!	0.9	noise_or_fragment_filter
dominance	noun	ADJ	adjective_modifier	polltical	polltical	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	dominance	polltical	0.9	noise_or_fragment_filter
drink	noun	ADJ	adjective_modifier	farawell [ early	farawell [ early	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	drink	farawell [ early	0.9	noise_or_fragment_filter
drive	noun	ADJ	adjective_modifier	short } eight-hour	short } eight-hour	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	drive	short } eight-hour	0.9	noise_or_fragment_filter
driver	noun	ADJ	adjective_modifier	learner Learner	learner learner	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	driver	learner learner	0.9	noise_or_fragment_filter
dynasty	noun	ADJ	adjective_modifier	ancient Scotland’s ancient dynasty	ancient scotland’s ancient dynasty	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	dynasty	ancient scotland’s ancient dynasty	0.9	noise_or_fragment_filter
e remains	noun	ADJ	adjective_modifier	burnt(-out)	burnt(-out)	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	e remains	burnt(-out)	0.9	noise_or_fragment_filter
economics	noun	ADJ	adjective_modifier	free-marke Keynesian	free-marke keynesian	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	economics	free-marke keynesian	0.9	noise_or_fragment_filter
edition	noun	ADJ	adjective_modifier	paperback [ pocket	paperback [ pocket	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	edition	paperback [ pocket	0.9	noise_or_fragment_filter
emergency	noun	ADJ	adjective_modifier	serious Don’t call	serious don’t call	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	emergency	serious don’t call	0.9	noise_or_fragment_filter
emphasis	noun	ADJ	adjective_modifier	‘was the one.’	‘was the one.’	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	emphasis	‘was the one.’	0.9	noise_or_fragment_filter
end	noun	ADJ	adjective_modifier	common Despite our differences	common despite our differences	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	end	common despite our differences	0.9	noise_or_fragment_filter
enjoy	verb	ADJ	adjective_modifier	sheer For sheer enjoyment	sheer for sheer enjoyment	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	enjoy	sheer for sheer enjoyment	0.9	noise_or_fragment_filter
envelope	noun	ADJ	adjective_modifier	—_ manila	—_ manila	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	envelope	—_ manila	0.9	noise_or_fragment_filter
estate	noun	ADJ	adjective_modifier	pri- vate [ industrial	pri- vate [ industrial	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	estate	pri- vate [ industrial	0.9	noise_or_fragment_filter
event	noun	ADJ	adjective_modifier	rare Outside big cities	rare outside big cities	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	event	rare outside big cities	0.9	noise_or_fragment_filter
excellent	adjective	ADJ	adjective_modifier	honourable With a few honour	honourable with a few honour	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	excellent	honourable with a few honour	0.9	noise_or_fragment_filter
expedition	noun	ADJ	adjective_modifier	major Finally	major finally	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	expedition	major finally	0.9	noise_or_fragment_filter
expertise	noun	ADJ	adjective_modifier	existing Particular	existing particular	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	expertise	existing particular	0.9	noise_or_fragment_filter
facility	noun	ADJ	adjective_modifier	community Hospitals	community hospitals	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	facility	community hospitals	0.9	noise_or_fragment_filter
failing	noun	ADJ	adjective_modifier	moral { personal	moral { personal	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	failing	moral { personal	0.9	noise_or_fragment_filter
familiarity	noun	ADJ	adjective_modifier	intimate [	intimate [	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	familiarity	intimate [	0.9	noise_or_fragment_filter
fare	noun	ADJ	adjective_modifier	!ow	!ow	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	fare	!ow	0.9	noise_or_fragment_filter
fat	adjective	ADJ	adjective_modifier	tragic } worse	tragic } worse	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	fat	tragic } worse	0.9	noise_or_fragment_filter
fault	noun	ADJ	adjective_modifier	polltical	polltical	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	fault	polltical	0.9	noise_or_fragment_filter
fault	noun	ADJ	adjective_modifier	particular Traditionally	particular traditionally	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	fault	particular traditionally	0.9	noise_or_fragment_filter
favourite	noun	ADJ	adjective_modifier	toca!	toca!	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	favourite	toca!	0.9	noise_or_fragment_filter
federation	noun	ADJ	adjective_modifier	etc. the British Athletics Federation	etc. the british athletics federation	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	federation	etc. the british athletics federation	0.9	noise_or_fragment_filter
film	noun	ADJ	adjective_modifier	go to (see)	go to (see)	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	film	go to (see)	0.9	noise_or_fragment_filter
flavour	noun	ADJ	adjective_modifier	lend (sth)	lend (sth)	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	flavour	lend (sth)	0.9	noise_or_fragment_filter
fling	noun	ADJ	adjective_modifier	(one) final	(one) final	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	fling	(one) final	0.9	noise_or_fragment_filter
fling	noun	ADJ	adjective_modifier	(one) last	(one) last	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	fling	(one) last	0.9	noise_or_fragment_filter
flower	noun	ADJ	adjective_modifier	pretty What lovely flowers!	pretty what lovely flowers!	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	flower	pretty what lovely flowers!	0.9	noise_or_fragment_filter
fool	noun	ADJ	adjective_modifier	little You silly little fool!	little you silly little fool!	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	fool	little you silly little fool!	0.9	noise_or_fragment_filter
fortnight	noun	ADJ	adjective_modifier	previous }	previous }	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	fortnight	previous }	0.9	noise_or_fragment_filter
frailty	noun	ADJ	adjective_modifier	increasing Despite increasing physical frailty	increasing despite increasing physical frailty	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	frailty	increasing despite increasing physical frailty	0.9	noise_or_fragment_filter
freak	noun	ADJ	adjective_modifier	contra}	contra}	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	freak	contra}	0.9	noise_or_fragment_filter
freedom	noun	ADJ	adjective_modifier	sexual Without aca- demic freedom	sexual without aca- demic freedom	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	freedom	sexual without aca- demic freedom	0.9	noise_or_fragment_filter
gala	noun	ADJ	adjective_modifier	Roya!	roya!	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	gala	roya!	0.9	noise_or_fragment_filter
game	noun	ADJ	adjective_modifier	team How	team how	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	game	team how	0.9	noise_or_fragment_filter
gem	noun	ADJ	adjective_modifier	rea)	rea)	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	gem	rea)	0.9	noise_or_fragment_filter
goddess	noun	ADJ	adjective_modifier	_ etc	_ etc	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	goddess	_ etc	0.9	noise_or_fragment_filter
gossip	noun	ADJ	adjective_modifier	\dle	\dle	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	gossip	\dle	0.9	noise_or_fragment_filter
grope	verb	ADJ	adjective_modifier	shaky Legally	shaky legally	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	grope	shaky legally	0.9	noise_or_fragment_filter
grope	verb	ADJ	adjective_modifier	give (sb)	give (sb)	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	grope	give (sb)	0.9	noise_or_fragment_filter
guest	noun	ADJ	adjective_modifier	speclal Film star Matt	speclal film star matt	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	guest	speclal film star matt	0.9	noise_or_fragment_filter
gym	noun	ADJ	adjective_modifier	fully-equipped }	fully-equipped }	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	gym	fully-equipped }	0.9	noise_or_fragment_filter
hatch	noun	ADJ	adjective_modifier	open Leave the hatch open	open leave the hatch open	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	hatch	open leave the hatch open	0.9	noise_or_fragment_filter
heading	noun	ADJ	adjective_modifier	letter With the computer	letter with the computer	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	heading	letter with the computer	0.9	noise_or_fragment_filter
headlights	noun	ADJ	adjective_modifier	tabloid ‘Carnage at Airport’	tabloid ‘carnage at airport’	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	headlights	tabloid ‘carnage at airport’	0.9	noise_or_fragment_filter
hearsay	noun	ADJ	adjective_modifier	sinking With a heavy heart	sinking with a heavy heart	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	hearsay	sinking with a heavy heart	0.9	noise_or_fragment_filter
heat	noun	ADJ	adjective_modifier	rise Heat flooded her cheeks	rise heat flooded her cheeks	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	heat	rise heat flooded her cheeks	0.9	noise_or_fragment_filter
heir	noun	ADJ	adjective_modifier	spi Itual	spi itual	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	heir	spi itual	0.9	noise_or_fragment_filter
hero	noun	ADJ	adjective_modifier	eponymous Don Quixote	eponymous don quixote	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	hero	eponymous don quixote	0.9	noise_or_fragment_filter
hero	noun	ADJ	adjective_modifier	childhood Bugs	childhood bugs	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	hero	childhood bugs	0.9	noise_or_fragment_filter
hero	noun	ADJ	adjective_modifier	war Jimi	war jimi	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	hero	war jimi	0.9	noise_or_fragment_filter
heroine	noun	ADJ	adjective_modifier	eponymous Jane Eyre	eponymous jane eyre	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	heroine	eponymous jane eyre	0.9	noise_or_fragment_filter
hill	noun	ADJ	adjective_modifier	take to ~s	take to ~s	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	hill	take to ~s	0.9	noise_or_fragment_filter
hillside	noun	ADJ	adjective_modifier	steep [	steep [	high	adj_noun_collocations.tsv	adj_noun_positive.tsv	hillside	steep [	0.9	noise_or_fragment_filter
